respondent_id,role_raw,role_other,role_raw_norm,role_other_norm,needs_harmonization,preliminary_category,final_category_appendix_j
RESP_639d2a5e19,Other (please specify),Freelance Climate Finance Consultant,other please specify,freelance climate finance consultant,TRUE,Business Consulting and Advisory,Business Consulting and Advisory
RESP_67b1073082,Other (please specify),Pensioner,other please specify,pensioner,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_68d9280d1e,Other (please specify),Financial advisor,other please specify,financial advisor,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_6a539eb68c,Other (please specify),incubator/accelerator,other please specify,incubator accelerator,TRUE,Corporate Entities,Corporate Entities
RESP_6b19d93cfd,Other (please specify),Legal adviser to Family offices,other please specify,legal adviser to family offices,TRUE,Family Office,Family Office
RESP_6c03c11717,Other (please specify),Law office,other please specify,law office,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_6c7c35e8c2,Other (please specify),energy utility,other please specify,energy utility,TRUE,Energy and Infrastructure,Energy and Infrastructure
RESP_6d86161a45,Other (please specify),M&A advisory and Business Development of renewable power generation,other please specify,m a advisory and business development of renewable power generation,TRUE,Business Consulting and Advisory,Business Consulting and Advisory
RESP_6d8fb441cd,Other (please specify),Media Production Company,other please specify,media production company,TRUE,Manufacturing and Industrial,Manufacturing and Industrial
RESP_6f2ec8ae46,Other (please specify),Law Firm,other please specify,law firm,TRUE,Legal Services,Legal Services
RESP_6f443158ec,Other (please specify),retailer,other please specify,retailer,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_70427e5bdc,Other (please specify),Conglomerate,other please specify,conglomerate,TRUE,Corporate Entities,Corporate Entities
RESP_710e0d83d5,Other (please specify),Private debt,other please specify,private debt,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_71f03523eb,Other (please specify),Legal advisor,other please specify,legal advisor,TRUE,Legal Services,Legal Services
RESP_737a2d0c2e,Other (please specify),legal adviser,other please specify,legal adviser,TRUE,Legal Services,Legal Services
RESP_737c827fdf,Other (please specify),Lawyer,other please specify,lawyer,TRUE,Legal Services,Legal Services
RESP_74c1cd0e16,Other (please specify),Billboard Company,other please specify,billboard company,TRUE,Corporate Entities,Corporate Entities
RESP_74db0ad2ff,Other (please specify),a professional services firm supporting over 80 nonprofits and social enterprises in achieving greater impact worldwide.,other please specify,a professional services firm supporting over 80 nonprofits and social enterprises in achieving greater impact worldwide,TRUE,Nonprofit Organization,Nonprofit Organization
RESP_75fba91053,Other (please specify),Hedge Fund,other please specify,hedge fund,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_7635a48ee3,Other (please specify),Debt Fund Manager,other please specify,debt fund manager,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_7711e37820,Other (please specify),Corporate,other please specify,corporate,TRUE,Corporate Entities,Corporate Entities
RESP_78e13e9e58,Other (please specify),Energy / Corporated,other please specify,energy corporated,TRUE,Corporate Entities,Corporate Entities
RESP_7936c0456b,Other (please specify),Investment Banking,other please specify,investment banking,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_79ab3f035b,Other (please specify),Hedge fund,other please specify,hedge fund,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_7a2288db65,Other (please specify),local economic development organization,other please specify,local economic development organization,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_7a90c693ad,Other (please specify),Retired high net worth individual,other please specify,retired high net worth individual,TRUE,High Net-Worth Individual,High Net-Worth Individual
RESP_7abf75064b,Other (please specify),Limited Company,other please specify,limited company,TRUE,Corporate Entities,Corporate Entities
RESP_7ae56adf2d,Other (please specify),Real Estate Investment Trust,other please specify,real estate investment trust,TRUE,Government Funding Agency,Government Funding Agency
RESP_7bbc1bb526,Other (please specify),Large Diversified Conglomerate,other please specify,large diversified conglomerate,TRUE,Corporate Entities,Corporate Entities
RESP_7bd3fd5f4a,Other (please specify),Consultancy,other please specify,consultancy,TRUE,Business Consulting and Advisory,Business Consulting and Advisory
RESP_7be38cf223,Other (please specify),Investment Bank,other please specify,investment bank,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_7c1ba4fd70,Other (please specify),Gas transmition sistem operator,other please specify,gas transmition sistem operator,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_7c20088489,Other (please specify),Due Diligence provider,other please specify,due diligence provider,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_7cf80bcc5b,Other (please specify),advisor,other please specify,advisor,TRUE,Business Consulting and Advisory,Business Consulting and Advisory
RESP_7e4d9a4e53,Other (please specify),Public Pension,other please specify,public pension,TRUE,Government Funding Agency,Government Funding Agency
RESP_7ea8e1cba4,Other (please specify),Investment Bank in Impact investing space,other please specify,investment bank in impact investing space,TRUE,ESG Investor,Investment and Financial Services
RESP_7f58ef20d3,Other (please specify),Global multi-asset class fund manager,other please specify,global multi asset class fund manager,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_7ffd9f4298,Other (please specify),Manufacturer,other please specify,manufacturer,TRUE,Manufacturing and Industrial,Manufacturing and Industrial
RESP_7fffbb5f2e,Other (please specify),Australian superannuation / pension fund,other please specify,australian superannuation pension fund,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_80819fe710,Other (please specify),Private LImited Company,other please specify,private limited company,TRUE,Corporate Entities,Corporate Entities
RESP_828a66fbb2,Other (please specify),lawyer,other please specify,lawyer,TRUE,Legal Services,Legal Services
RESP_82d034bf55,Other (please specify),Investment Banking Firm - M&A,other please specify,investment banking firm m a,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_851d48fba6,Other (please specify),"Founded and chairs group of day nurseries, sustainable education",other please specify,founded and chairs group of day nurseries sustainable education,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_8594fe8c31,Other (please specify),Public pension fund,other please specify,public pension fund,TRUE,Government Funding Agency,Investment and Financial Services
RESP_85e7265556,Other (please specify),CEO Law Firm,other please specify,ceo law firm,TRUE,Legal Services,Legal Services
RESP_886778ceaa,Other (please specify),Mineral exploration company in battery minerals sector,other please specify,mineral exploration company in battery minerals sector,TRUE,Entrepreneur in Climate Technology,Entrepreneur in Climate Technology
RESP_8bdecc5568,Other (please specify),Privately held company … i think this questionnaire may not be for us,other please specify,privately held company i think this questionnaire may not be for us,TRUE,Corporate Entities,Corporate Entities
RESP_8bf8ac3256,Other (please specify),Impact First Debt Investor,other please specify,impact first debt investor,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_8f2d2cb605,Other (please specify),Law Firm,other please specify,law firm,TRUE,Legal Services,Legal Services
RESP_8f768f5ed8,Other (please specify),Asset Manager,other please specify,asset manager,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_8f800de8f0,Other (please specify),Insurer,other please specify,insurer,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_9047348779,Other (please specify),Packaging manufacturer,other please specify,packaging manufacturer,TRUE,Manufacturing and Industrial,Manufacturing and Industrial
RESP_90f3e82206,Other (please specify),Lawyer for VC funds and VC-backed companies,other please specify,lawyer for vc funds and vc backed companies,TRUE,Legal Services,Legal Services
RESP_90f6dbbe92,Other (please specify),Electric Cooperative,other please specify,electric cooperative,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_9263894cab,Other (please specify),Infrastructure fund manager,other please specify,infrastructure fund manager,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_927ade98f6,Other (please specify),Investor Relations Consultancy,other please specify,investor relations consultancy,TRUE,Business Consulting and Advisory,Business Consulting and Advisory
RESP_94600ed056,Other (please specify),Telecom ownership,other please specify,telecom ownership,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_94707efd80,Other (please specify),DFI,other please specify,dfi,TRUE,Government Funding Agency,Government Funding Agency
RESP_94b6a1af40,Other (please specify),Fintech executive,other please specify,fintech executive,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_95d8a75615,Other (please specify),Lawyer (VC investments),other please specify,lawyer vc investments,TRUE,Legal Services,Legal Services
RESP_9648036dac,Other (please specify),For Profit Organization,other please specify,for profit organization,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_97ec5e1f72,Other (please specify),strategic consutant,other please specify,strategic consutant,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_98121cd657,Other (please specify),Climate Adaptive Infrastructure Fund,other please specify,climate adaptive infrastructure fund,TRUE,Energy and Infrastructure,Energy and Infrastructure
RESP_98f30ea1c5,Other (please specify),Fund manager,other please specify,fund manager,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_9b31f7ca80,Other (please specify),Normal industrial company,other please specify,normal industrial company,TRUE,Manufacturing and Industrial,Manufacturing and Industrial
RESP_9b489c78a8,Other (please specify),Publicly Listed Company,other please specify,publicly listed company,TRUE,Corporate Entities,Corporate Entities
RESP_9bcc048322,Other (please specify),Listed company,other please specify,listed company,TRUE,Corporate Entities,Corporate Entities
RESP_9cd680910c,Other (please specify),Entrepreneur,other please specify,entrepreneur,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_9cf6639def,Other (please specify),STRATEGY/INV BANKING,other please specify,strategy inv banking,TRUE,Business Consulting and Advisory,Business Consulting and Advisory
RESP_9d604bb5fd,Other (please specify),Small Business Owner,other please specify,small business owner,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_9e1346f7a8,Other (please specify),Corporate innovation consultancy firm,other please specify,corporate innovation consultancy firm,TRUE,Business Consulting and Advisory,Business Consulting and Advisory
RESP_9eb6ad5cbe,Other (please specify),Small business owner in travel,other please specify,small business owner in travel,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_a09f89a4ee,Other (please specify),Social Care Business,other please specify,social care business,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_a1783e3ae0,Other (please specify),Trading,other please specify,trading,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_a19d77b66a,Other (please specify),Macro research firm,other please specify,macro research firm,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_a1e8f465a7,Other (please specify),For PROFIT Business,other please specify,for profit business,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_a2088f7cf6,Other (please specify),Investment Banking Corporate Finance Advisory,other please specify,investment banking corporate finance advisory,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_a20cb9fa05,Other (please specify),Thematic investor (of which climate change is only one theme in our portfolio).,other please specify,thematic investor of which climate change is only one theme in our portfolio,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_a401ed4183,Other (please specify),CFO in small publicly-traded company,other please specify,cfo in small publicly traded company,TRUE,Corporate Entities,Corporate Entities
RESP_a45a40a39d,Other (please specify),Manufacturing of engineering products,other please specify,manufacturing of engineering products,TRUE,Manufacturing and Industrial,Manufacturing and Industrial
RESP_a47fc00c80,Other (please specify),institutional impact investor,other please specify,institutional impact investor,TRUE,ESG Investor,ESG Investor
RESP_a498efcc56,Other (please specify),Entrepreneur in climate finance,other please specify,entrepreneur in climate finance,TRUE,Entrepreneur in Climate Technology,Entrepreneur in Climate Technology
RESP_a4db51cf43,Other (please specify),Corporate finance advisory,other please specify,corporate finance advisory,TRUE,Business Consulting and Advisory,Business Consulting and Advisory
RESP_a59a012ade,Other (please specify),Self,other please specify,self,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_a6d9d61346,Other (please specify),Auto Insurance Company,other please specify,auto insurance company,TRUE,Investment and Financial Services,Investment and Financial Services
RESP_a8b249401b,Other (please specify),Consulting,other please specify,consulting,TRUE,Business Consulting and Advisory,Business Consulting and Advisory
RESP_a913190918,Other (please specify),Entrepreneur in a related climate tech space.,other please specify,entrepreneur in a related climate tech space,TRUE,Entrepreneur in Climate Technology,Entrepreneur in Climate Technology
RESP_a9643a33f3,Other (please specify),Education enterpreneur,other please specify,education enterpreneur,TRUE,Miscellaneous and Individual Respondents,Miscellaneous and Individual Respondents
RESP_aa0d4240bb,Other (please specify),Industrial Real Estate developer,other please specify,industrial real estate developer,TRUE,Government Funding Agency,Government Funding Agency
RESP_aa9b9e75ad,Other (please specify),Conglomerate,other please specify,conglomerate,TRUE,Corporate Entities,Corporate Entities
